# In-browser weeb-3 concurrency sweep. arms [1,4], rounds 2, block 90.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 38ms (ceiling 500ms), document visible. Judge the environment, do not assume it.
# round 0 pos 0 arm 1: peers 200/0 -> 200/0, focused true
# round 0 pos 1 arm 4: peers 200/0 -> 200/0, focused true
# round 1 pos 0 arm 4: peers 200/0 -> 200/0, focused true
# round 1 pos 1 arm 1: peers 200/0 -> 200/0, focused true
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	001c74f611	551	3639	3088	4379272	200	
1	0	b3be73d198	3639	7229	3590	851828	200	
1	0	da58eeb3f8	7229	11025	3796	844308	200	
1	0	edc04eddda	11025	13606	2581	816484	200	
1	0	914396a26e	13606	15945	2339	801068	200	
1	0	fb8c7517c7	15945	18074	2129	790540	200	
1	0	d7358084c2	18074	19901	1827	817800	200	
1	0	297d59dd5b	19901	21691	1790	772680	200	
1	0	88ad7e4e53	21691	23475	1784	815356	200	
1	0	2b14a28d59	23475	25537	2062	843932	200	
1	0	9b4c211428	25537	27379	1842	833592	200	
1	0	79d1cb21ac	27379	29181	1802	806896	200	
1	0	a244e4f0e3	29181	31086	1905	782080	200	
1	0	0cd8313b5d	31086	32962	1876	797872	200	
1	0	db14612bf4	32962	34760	1798	811220	200	
1	0	947537ccce	34760	36531	1771	841864	200	
1	0	b7b630f939	36531	38301	1770	814228	200	
1	0	955247fdc5	38301	40425	2124	807272	200	
1	0	f65b9d6dbd	40425	42233	1808	833404	200	
1	0	659bec1d18	42233	44006	1773	820620	200	
1	0	4668ceb9c2	44006	45587	1581	768920	200	
1	0	800c98fbfd	45587	47474	1887	806520	200	
1	0	c53737cdb9	47474	49355	1881	817612	200	
1	0	d0632beaa0	49355	50985	1630	823252	200	
1	0	431def84b9	50985	52736	1751	838668	200	
1	0	bdc09e2062	52736	55284	2548	782644	200	
1	0	549717294c	55284	57082	1798	799564	200	
1	0	2d2b8534bc	57082	58485	1403	801444	200	
1	0	753d673b14	58485	60250	1765	830208	200	
1	0	d0b15a7144	60250	62067	1817	819116	200	
1	0	d485db1f10	62067	64371	2304	825320	200	
1	0	48a4acb9f5	64371	67726	3355	805016	200	
1	0	28ca58ae4f	67726	69678	1952	811220	200	
1	0	57aab4b10c	69678	71617	1939	808024	200	
1	0	ad6ff2f5f1	71618	73506	1888	811220	200	
1	0	2093855b76	73506	75769	2263	823816	200	
1	0	ee45d8e6fd	75769	77548	1779	825884	200	
1	0	61a92386fd	77548	79177	1629	819116	200	
1	0	5874fa8f18	79177	80758	1581	794112	200	
1	0	96d644a9ad	80758	82580	1822	782268	200	
1	0	4e6cdd30de	82580	84379	1799	797872	200	
1	0	4dd5318934	84379	86380	2001	831524	200	
1	0	a90bf43bba	86380	88383	2003	816672	200	
1	0	23e58adc52	88383	90246	1863	827576	200	
1	0	2e03700716	90246	92124	1878	807084	200	
1	0	65dda960b0	92124	93758	1634	819868	200	
1	0	86f270d593	93758	95380	1622	776440	200	
1	0	77608a82e6	95380	97030	1650	802572	200	
1	0	9647c8804e	97030	99030	2000	797496	200	
1	0	fdbe9bf426	99031	100904	1873	804264	200	
1	0	3c55e5189a	100904	102717	1813	831148	200	
1	0	ed477d3dc1	102717	104490	1773	813852	200	
1	0	c224d01433	104490	106098	1608	802572	200	
1	0	791e2f9c73	106098	108275	2177	802384	200	
1	0	10f48dd064	108275	110101	1826	829832	200	
1	0	44288ebb4b	110101	111891	1790	836224	200	
1	0	b07191df3e	111891	113300	1409	819868	200	
1	0	7223f00f61	113300	115103	1803	809152	200	
1	0	79b6672e80	115103	116913	1810	803512	200	
1	0	4ad9ce9c70	116914	118509	1595	783208	200	
1	0	0bfdab2899	118509	120303	1794	798248	200	
1	0	9f8970374d	120303	122103	1800	822876	200	
1	0	bbbd0b2bba	122104	123927	1823	822500	200	
1	0	7773f81c90	123927	125797	1870	818740	200	
1	0	304500ef98	125797	127679	1882	808024	200	
1	0	dcd4278aa5	127679	129469	1790	833028	200	
1	0	73ab4e7ed2	129469	131259	1790	822688	200	
1	0	f9ae94fd81	131259	133476	2217	817800	200	
1	0	75281f81c4	133476	135053	1577	800504	200	
1	0	07f9556453	135053	136872	1819	810280	200	
1	0	c5e3847305	136872	138677	1805	807460	200	
1	0	b5e9ab7e87	138677	140490	1813	818364	200	
1	0	e59d00a45f	140490	142422	1932	849572	200	
1	0	b9eb002ae5	142422	144269	1847	812912	200	
1	0	1b0261db22	144269	146073	1804	791104	200	
1	0	0bf90e920f	146073	147888	1815	836600	200	
1	0	11f94d7492	147888	149794	1906	812348	200	
1	0	a790cadf7c	149794	151626	1832	773808	200	
1	0	8952fde099	151626	153428	1802	806896	200	
1	0	8846f461e4	153428	155057	1629	819492	200	
1	0	53c07b497e	155057	157042	1985	802948	200	
1	0	a2d327ffe9	157042	158672	1630	808588	200	
1	0	08944f4a4a	158672	160325	1653	829644	200	
1	0	0333d4d5d5	160325	162186	1861	790540	200	
1	0	f278a2840b	162186	164020	1834	817048	200	
1	0	b91354010e	164020	165861	1841	821372	200	
1	0	7a6dc5ee0d	165861	167654	1793	800880	200	
1	0	d0399d7f8e	167654	169447	1793	828328	200	
1	0	8d6281f67b	169447	171281	1834	819304	200	
1	0	ab4026b1b4	171281	173133	1852	807648	200	
1	0	9190c7c429	173133	174934	1801	815544	200	
4	0	e04c37db80	174939	177046	2107	799376	200	
4	0	5a65251d87	174939	177046	2107	795992	200	
4	0	72c82f5dee	174939	177102	2163	800504	200	
4	0	f7b55d0e98	174936	177429	2493	795240	200	
4	0	fcae83de85	177046	179096	2050	803324	200	
4	0	0a05857c41	177102	179288	2186	825132	200	
4	0	b63614c091	177429	179370	1941	806708	200	
4	0	b9d856320e	177046	179385	2339	787720	200	
4	0	38c8cdfd53	179096	181146	2050	818552	200	
4	0	247329b950	179370	181638	2268	825696	200	
4	0	1a8f2c01bc	179385	181754	2369	785652	200	
4	0	45b83ac1cb	179288	182050	2762	819116	200	
4	0	f538d7c9e0	181146	183087	1941	853708	200	
4	0	876ae7feef	181638	183640	2002	842052	200	
4	0	e33a0a3ec1	181754	184634	2880	816108	200	
4	0	d8001fc25c	182050	184837	2787	829832	200	
4	0	1fa18939cb	183087	185378	2291	830020	200	
4	0	48d254df4a	183640	185740	2100	817988	200	
4	0	a03a60bd30	184634	186813	2179	826636	200	
4	0	f615996639	184837	187084	2247	824944	200	
4	0	bfb87cb13c	185378	188071	2693	826072	200	
4	0	a3e5a98484	185740	188341	2601	859536	200	
4	0	ff91228d6e	187084	190258	3174	822124	200	
4	0	4014020766	186813	190414	3601	827576	200	
4	0	24b5f29574	188071	191016	2945	822312	200	
4	0	cc19f2cea4	188341	191274	2933	839796	200	
4	0	5e6cabfd70	190258	192174	1916	816296	200	
4	0	e752c5f84f	190414	192446	2032	822312	200	
4	0	8305a3956a	191016	192939	1923	803324	200	
4	0	1a7cd44753	192174	194358	2184	823064	200	
4	0	85e33c1799	191274	194695	3421	815356	200	
4	0	6ac818b3f8	192446	195318	2872	821372	200	
4	0	c4cdd8076d	192939	195789	2850	810656	200	
4	0	34883903cb	194358	196949	2591	836788	200	
4	0	24bd9a5192	194695	197172	2477	814040	200	
4	0	38293c688f	195318	197836	2518	792984	200	
4	0	17dea34fa5	195789	198321	2532	813288	200	
4	0	3347775490	196949	198941	1992	816108	200	
4	0	1c0ab43739	197172	199952	2780	813476	200	
4	0	3c0308fad2	197836	200106	2270	822312	200	
4	0	f3936889d1	198321	201273	2952	811408	200	
4	0	22933d848a	198941	202026	3085	795992	200	
4	0	f809fe8c75	200106	202706	2600	823628	200	
4	0	43123d029d	199952	202847	2895	816484	200	
