# In-browser weeb-3 concurrency sweep. arms [4,16], rounds 2, block 90.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 38ms (ceiling 500ms), document visible. Judge the environment, do not assume it.
# round 0 pos 0 arm 4: peers 200/0 -> 200/0, focused true
# round 0 pos 1 arm 16: peers 200/0 -> 200/0, focused true
# round 1 pos 0 arm 16: peers 200/0 -> 200/0, focused true
# round 1 pos 1 arm 4: peers 200/0 -> 200/0, focused true
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	001c74f611	544	8529	7985	4379272	200	
4	0	da58eeb3f8	8530	11595	3065	844308	200	
4	0	914396a26e	8530	12546	4016	801068	200	
4	0	edc04eddda	8530	12627	4097	816484	200	
4	0	b3be73d198	8529	12964	4435	851828	200	
4	0	fb8c7517c7	11596	13830	2234	790540	200	
4	0	297d59dd5b	12627	14859	2232	772680	200	
4	0	d7358084c2	12546	15478	2932	817800	200	
4	0	88ad7e4e53	12964	15814	2850	815356	200	
4	0	9b4c211428	14859	16948	2089	833592	200	
4	0	2b14a28d59	13830	17060	3230	843932	200	
4	0	79d1cb21ac	15478	17970	2492	806896	200	
4	0	a244e4f0e3	15814	18446	2632	782080	200	
4	0	db14612bf4	17060	19135	2075	811220	200	
4	0	0cd8313b5d	16948	19850	2902	797872	200	
4	0	947537ccce	17970	20654	2684	841864	200	
4	0	b7b630f939	18446	21628	3182	814228	200	
4	0	955247fdc5	19135	21811	2676	807272	200	
4	0	f65b9d6dbd	19850	22887	3037	833404	200	
4	0	659bec1d18	20654	23083	2429	820620	200	
4	0	800c98fbfd	21811	25324	3513	806520	200	
4	0	4668ceb9c2	21628	25396	3768	768920	200	
4	0	d0632beaa0	23083	25939	2856	823252	200	
4	0	c53737cdb9	22887	26223	3336	817612	200	
4	0	431def84b9	25324	28140	2816	838668	200	
4	0	bdc09e2062	25396	28612	3216	782644	200	
4	0	549717294c	25939	29536	3597	799564	200	
4	0	2d2b8534bc	26223	29822	3599	801444	200	
4	0	753d673b14	28140	30187	2047	830208	200	
4	0	d0b15a7144	28612	30924	2312	819116	200	
4	0	d485db1f10	29536	32144	2608	825320	200	
4	0	28ca58ae4f	30187	32974	2787	811220	200	
4	0	48a4acb9f5	29822	33088	3266	805016	200	
4	0	57aab4b10c	30924	33522	2598	808024	200	
4	0	ad6ff2f5f1	32144	33980	1836	811220	200	
