arm	mode	kind	code	ms
a01-128-spread	spread	hit	200	7
a01-128-spread	spread	miss	404	490
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	401
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	457
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	408
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	470
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	496
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	646
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	210
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	462
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	458
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	434
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	527
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	234
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	438
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	488
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	352
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	387
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	461
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	366
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	403
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	478
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	482
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	490
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	433
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	406
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	150
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	544
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	213
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	517
a01-128-spread	spread	hit	200	11
a01-128-spread	spread	miss	404	534
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	547
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	518
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	472
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	445
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	507
a01-128-spread	spread	hit	200	1
