arm	mode	kind	code	ms
a01-1-spread	spread	hit	200	5
a01-1-spread	spread	miss	404	533
a01-1-spread	spread	hit	200	3
a01-1-spread	spread	miss	404	354
a01-1-spread	spread	hit	200	3
a01-1-spread	spread	miss	404	521
a01-1-spread	spread	hit	200	31
a01-1-spread	spread	miss	404	433
a01-1-spread	spread	hit	200	9
a01-1-spread	spread	miss	404	410
a01-1-spread	spread	hit	200	9
a01-1-spread	spread	miss	404	311
a01-1-spread	spread	hit	200	23
a01-1-spread	spread	miss	404	463
a01-1-spread	spread	hit	200	3
a01-1-spread	spread	miss	404	404
a01-1-spread	spread	hit	200	2
a01-1-spread	spread	miss	404	468
a01-1-spread	spread	hit	200	2
a01-1-spread	spread	miss	404	407
a01-1-spread	spread	hit	200	38
a01-1-spread	spread	miss	404	440
a01-1-spread	spread	hit	200	5
a01-1-spread	spread	miss	404	543
a01-1-spread	spread	hit	200	27
a01-1-spread	spread	miss	404	450
a01-1-spread	spread	hit	200	10
a01-1-spread	spread	miss	404	467
a01-1-spread	spread	hit	200	4
a01-1-spread	spread	miss	404	477
a01-1-spread	spread	hit	200	7
a01-1-spread	spread	miss	404	550
a01-1-spread	spread	hit	200	5
a01-1-spread	spread	miss	404	522
a01-1-spread	spread	hit	200	57
a01-1-spread	spread	miss	404	593
a01-1-spread	spread	hit	200	24
a01-1-spread	spread	miss	404	477
a01-1-spread	spread	hit	200	7
a01-1-spread	spread	miss	404	525
a01-1-spread	spread	hit	200	35
a01-1-spread	spread	miss	404	630
a01-1-spread	spread	hit	200	5
a01-1-spread	spread	miss	404	588
a01-1-spread	spread	hit	200	12
a01-1-spread	spread	miss	404	398
a01-1-spread	spread	hit	200	9
a01-1-spread	spread	miss	404	498
a01-1-spread	spread	hit	200	7
a01-1-spread	spread	miss	404	557
a01-1-spread	spread	hit	200	6
a01-1-spread	spread	miss	404	476
a01-1-spread	spread	hit	200	7
a01-1-spread	spread	miss	404	426
a01-1-spread	spread	hit	200	8
a01-1-spread	spread	miss	404	439
a01-1-spread	spread	hit	200	6
a01-1-spread	spread	miss	404	432
a01-1-spread	spread	hit	200	6
a01-1-spread	spread	miss	404	392
a01-1-spread	spread	hit	200	9
a01-1-spread	spread	miss	404	453
a01-1-spread	spread	hit	200	11
a01-1-spread	spread	miss	404	560
a01-1-spread	spread	hit	200	34
a01-1-spread	spread	miss	404	468
a01-1-spread	spread	hit	200	26
a01-1-spread	spread	miss	404	507
a01-1-spread	spread	hit	200	28
a01-1-spread	spread	miss	404	282
a01-1-spread	spread	hit	200	11
a01-1-spread	spread	miss	404	467
a01-1-spread	spread	hit	200	14
a01-1-spread	spread	miss	404	514
a01-1-spread	spread	hit	200	25
a01-1-spread	spread	miss	404	649
a01-1-spread	spread	hit	200	14
a01-1-spread	spread	miss	404	586
a01-1-spread	spread	hit	200	20
a01-1-spread	spread	miss	404	635
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	289
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	314
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	523
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	529
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	525
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	524
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	329
a02-8-spread	spread	hit	200	2
