ts	gop_frames	pcpu	load1
02:54:40	60	118	4.27
02:55:04	60	118	4.23
02:55:26	60	119	4.06
02:55:49	60	119	3.53
02:56:12	60	119	3.15
02:56:57	15	78.6	3.53
02:57:20	15	147	3.46
02:57:43	15	141	3.19
02:58:06	15	139	3.25
02:58:29	15	139	4.48
02:58:51	15	139	4.52
02:59:14	15	138	5.41
02:59:37	15	138	5.81
03:00:00	15	137	6.10
03:00:22	15	138	5.49
03:00:45	15	137	6.17
03:01:08	15	138	5.47
03:01:31	15	138	6.26
03:01:55	15	137	8.70
03:02:17	15	138	12.94
03:02:40	15	137	16.12
03:03:03	15	137	13.58
03:03:26	15	136	19.14
03:03:48	15	134	29.50
03:04:12	15	134	21.83
03:04:34	15	134	15.33
03:04:57	15	134	11.93
03:05:42	30	74.2	9.44
03:06:05	30	117	6.68
03:06:28	30	120	4.87
03:06:50	30	121	3.82
03:07:13	30	120	2.85
03:07:36	30	120	3.11
03:07:59	30	120	3.49
03:08:21	30	120	4.14
03:08:44	30	121	4.04
03:09:07	30	120	6.16
03:09:30	30	120	4.89
03:09:53	30	121	5.02
03:10:16	30	120	5.27
03:10:38	30	121	5.16
03:11:02	30	120	6.81
03:11:24	30	120	6.98
03:11:47	30	120	7.42
03:12:10	30	120	6.92
03:12:33	30	120	5.98
03:12:56	30	120	5.26
03:13:19	30	120	5.97
03:13:42	30	120	5.61
03:14:28	30	148	4.16
03:14:51	30	137	3.14
03:15:13	30	139	3.72
03:15:36	30	136	4.71
03:15:59	30	136	4.08
03:16:21	30	135	5.47
03:16:45	30	135	6.98
03:17:08	30	134	6.96
03:17:30	30	133	6.10
03:17:54	30	134	7.54
03:18:16	30	135	6.87
03:18:39	30	130	25.95
03:19:02	30	130	21.16
03:19:25	30	129	15.90
03:19:47	30	130	14.48
03:20:10	30	130	11.64
03:20:33	30	131	9.22
03:20:56	30	131	6.88
03:21:19	30	131	5.43
03:21:42	30	131	4.25
03:22:04	30	131	5.54
03:22:27	30	131	4.95
03:22:50	60	68.5	3.58
03:23:12	60	117	4.33
03:23:36	60	113	40.11
03:23:58	60	116	28.75
03:24:21	60	120	20.89
03:24:44	60	122	15.92
03:25:07	60	124	12.57
03:25:30	60	124	9.31
03:25:53	60	124	6.89
03:26:15	60	125	6.96
03:26:38	60	125	5.45
03:27:01	60	125	4.76
03:27:24	60	125	3.89
03:27:47	60	125	3.39
03:28:10	60	125	3.09
03:28:32	60	125	3.26
03:28:55	60	125	2.72
03:29:18	60	126	2.78
03:29:41	60	125	2.36
03:30:04	60	125	2.26
03:30:27	60	125	3.79
03:30:49	60	125	3.16
03:31:35	15	88.1	2.72
03:31:58	15	155	2.81
03:32:20	15	152	3.02
03:32:43	15	152	2.73
03:33:06	15	152	3.12
03:33:29	15	146	15.71
03:33:52	15	141	18.41
03:34:14	15	142	14.31
03:34:37	15	144	12.75
03:35:00	15	144	10.20
03:35:23	15	146	8.59
03:35:45	15	146	8.91
03:36:09	15	147	6.93
03:36:31	15	147	7.22
03:36:54	15	148	5.33
03:37:17	15	149	4.87
03:37:39	15	149	3.34
03:38:02	15	149	3.39
03:38:25	15	149	2.85
03:38:48	15	149	4.88
03:39:11	15	150	3.87
03:39:34	15	150	2.87
