arm	round	gop	index	declaredDurationS	segmentBytes	videoPacketCount	unservedForMs	fetchAttempts
1	1	0.5	5	0.868	187248	15	0	1
1	1	0.5	7	1.067	194580	15	0	1
1	1	0.5	8	1.034	190256	15	0	1
1	1	0.5	9	1.134	191760	15	0	1
1	1	0.5	10	0.833	182360	15	0	1
1	1	0.5	11	1.001	187436	15	0	1
1	1	0.5	12	1.001	200596	15	0	1
1	1	0.5	13	1.001	191196	15	0	1
1	1	0.5	14	1.001	195896	15	0	1
1	1	0.5	16	0.766	184052	15	0	1
1	1	0.5	18	0.901	184616	15	0	1
1	1	0.5	19	1.034	190444	15	0	1
1	1	0.5	20	0.834	181044	15	0	1
1	1	0.5	21	0.867	181232	15	0	1
1	1	0.5	22	0.9	186308	15	0	1
1	1	0.5	23	1.068	203792	15	0	1
1	1	0.5	24	0.899	192512	15	0	1
1	1	0.5	25	1.001	194204	15	0	1
1	1	0.5	26	1.134	199656	15	0	1
1	1	0.5	27	1.034	199844	15	0	1
1	1	0.5	29	0.867	181984	15	0	1
1	1	0.5	31	0.766	178412	15	0	1
1	1	0.5	32	0.901	184240	15	0	1
1	1	0.5	33	1.034	187436	15	0	1
1	1	0.5	34	0.834	186872	15	0	1
1	1	0.5	35	1.134	204168	15	0	1
1	1	0.5	36	1.167	202100	15	0	1
1	1	0.5	37	0.901	190820	15	0	1
1	1	0.5	38	1.033	195896	15	0	1
1	1	0.5	39	1.034	191948	15	0	1
1	1	0.5	40	1.034	192700	15	0	1
1	1	0.5	41	1.001	187436	15	0	1
1	1	0.5	42	0.967	179540	15	0	1
1	1	0.5	43	1.134	195708	15	0	1
1	1	0.5	44	1.034	201536	15	0	1
1	1	0.5	45	1.034	195896	15	0	1
1	1	0.5	46	1.034	191384	15	0	1
1	1	0.5	47	0.834	183488	15	0	1
1	1	0.5	48	0.834	181984	15	0	1
1	1	0.5	49	1.034	193828	15	0	1
1	1	0.5	50	0.834	177472	15	0	1
1	1	0.5	51	0.834	183112	15	0	1
1	1	0.5	52	0.834	185368	15	0	1
1	1	0.5	53	1	189504	15	0	1
1	1	0.5	54	1.034	189692	15	0	1
1	1	0.5	55	0.866	193640	15	0	1
1	1	0.5	56	1.067	200784	15	0	1
1	1	0.5	57	1.034	200596	15	0	1
1	1	0.5	58	1.168	204168	15	0	1
1	1	0.5	59	0.967	185180	15	0	1
1	1	0.5	60	0.899	193076	15	0	1
1	1	0.5	61	1.167	192136	15	0	1
1	1	0.5	62	1.034	186308	15	0	1
1	1	0.5	63	1	179728	15	0	1
1	1	0.5	64	1	194392	15	0	1
1	1	0.5	65	1	194768	15	0	1
1	1	0.5	66	0.966	192512	15	0	1
1	1	0.5	67	0.868	192512	15	0	1
1	1	0.5	68	0.901	189880	15	0	1
1	1	0.5	69	1	196836	15	0	1
1	1	0.5	70	0.834	177660	15	0	1
1	1	0.5	71	0.967	190068	15	0	1
1	1	0.5	72	1.034	193264	15	0	1
1	1	0.5	73	1.034	183676	15	0	1
1	1	0.5	74	1.001	184992	15	0	1
1	1	0.5	75	0.967	192700	15	0	1
1	1	0.5	76	0.834	185744	15	0	1
1	1	0.5	77	1.134	197588	15	0	1
1	1	0.5	80	1.134	204544	15	0	1
1	1	0.5	81	1.134	187060	15	0	1
1	1	0.5	82	1	187624	15	0	1
1	1	0.5	83	1.168	187812	15	0	1
1	1	0.5	84	1.001	187060	15	0	1
1	1	0.5	85	1.001	197776	15	0	1
1	1	0.5	86	1.001	194956	15	0	1
1	1	0.5	87	1.001	190256	15	0	1
1	1	0.5	88	1.034	194016	15	0	1
1	1	0.5	89	1.101	198340	15	0	1
1	1	0.5	91	0.834	179540	15	0	1
1	1	0.5	93	1.001	185556	15	0	1
1	1	0.5	94	1.001	182360	15	0	1
1	1	0.5	95	1.134	196084	15	0	1
1	1	0.5	96	1.001	200220	15	0	1
1	1	0.5	97	0.834	186684	15	0	1
1	1	0.5	98	1.134	202288	15	0	1
1	1	0.5	99	1.001	189692	15	0	1
1	1	0.5	100	0.967	191384	15	0	1
1	1	0.5	101	1.034	192136	15	0	1
1	1	0.5	102	1.034	189504	15	0	1
1	1	0.5	103	1.001	185932	15	0	1
1	1	0.5	104	0.867	176720	15	0	1
1	1	0.5	105	0.899	189692	15	0	1
1	1	0.5	106	0.768	183300	15	0	1
1	1	0.5	107	0.899	193076	15	0	1
1	1	0.5	108	0.934	188752	15	0	1
1	1	0.5	110	0.834	181232	15	0	1
1	1	0.5	111	0.867	185744	15	0	1
1	1	0.5	112	0.968	186872	15	0	1
1	1	0.5	114	0.733	175404	15	0	1
1	1	0.5	115	1.101	191948	15	0	1
1	1	0.5	116	1.001	186308	15	0	1
1	1	0.5	117	1.001	190068	15	0	1
1	1	0.5	118	0.968	197964	15	0	1
1	1	0.5	119	1.001	193076	15	0	1
1	1	0.5	120	1.134	196460	15	0	1
1	1	0.5	121	1.168	204544	15	0	1
1	1	0.5	122	1.034	190256	15	0	1
1	1	0.5	123	1.034	190256	15	0	1
1	1	0.5	125	0.733	177660	15	0	1
1	1	0.5	126	0.734	179916	15	0	1
1	1	0.5	127	1.067	196272	15	0	1
1	1	0.5	128	0.768	187060	15	0	1
1	1	0.5	129	0.899	188752	15	0	1
1	1	0.5	131	0.733	181044	15	0	1
1	1	0.5	132	0.766	181044	15	0	1
1	1	0.5	133	0.733	179352	15	0	1
1	1	0.5	134	1	192700	15	0	1
1	1	0.5	136	1.134	188752	15	0	1
1	1	0.5	137	0.834	175968	15	0	1
1	1	0.5	138	0.801	185932	15	0	1
1	1	0.5	139	0.733	188000	15	0	1
1	1	0.5	140	1.034	192700	15	0	1
1	1	0.5	141	1.134	199280	15	0	1
1	1	0.5	142	0.834	189504	15	0	1
1	1	0.5	143	1.001	190632	15	0	1
1	1	0.5	144	1.001	188188	15	0	1
1	1	0.5	145	1.201	190256	15	0	1
1	1	0.5	146	1.034	184428	15	0	1
1	1	0.5	147	1.001	181420	15	0	1
1	1	0.5	148	1.068	188376	15	0	1
1	1	0.5	149	0.967	191572	15	0	1
1	1	0.5	150	0.967	188564	15	0	1
1	1	0.5	151	1.168	201348	15	0	1
1	1	0.5	152	0.866	182736	15	0	1
1	1	0.5	153	0.834	187812	15	0	1
1	1	0.5	154	1.001	193452	15	0	1
1	1	0.5	155	0.967	183488	15	0	1
1	1	0.5	156	1.134	194204	15	0	1
1	1	0.5	157	1.134	191948	15	0	1
1	1	0.5	158	0.968	178788	15	0	1
1	1	0.5	159	1.001	193452	15	0	1
1	1	0.5	160	1.067	195896	15	0	1
1	1	0.5	162	0.867	182736	15	0	1
1	1	0.5	163	0.733	183864	15	0	1
