# In-browser weeb-3 concurrency sweep. arms [16,32], rounds 2, block 160.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: [1]
# Scheduling probe: same-origin fetch p50 44ms (ceiling 500ms), document hidden. Judge the environment, do not assume it.
# round 0 pos 0 arm 16: peers 147/53 -> 147/53, focused false
# round 0 pos 1 arm 32: peers 147/53 -> 147/53, focused false
# round 1 pos 0 arm 32: peers 147/53 -> 147/53, focused false
# round 1 pos 1 arm 16: peers 147/53 -> 147/53, focused false
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	2a86dcb414	894	2120	1226	94188	200	
16	0	3394816246	2133	3115	982	95692	200	
16	0	215ca63cf2	2133	3334	1201	94188	200	
16	0	1ca2415751	2134	3391	1257	97572	200	
16	0	5519e0e29e	2133	3408	1275	92684	200	
16	0	9bec5bbf46	3391	4374	983	90052	200	
16	0	759d773cf0	3334	4375	1041	95128	200	
16	0	924c258553	2133	5223	3090	95128	200	
16	0	e1a61f5675	2133	5225	3092	92120	200	
16	0	ee95debe60	2137	5230	3093	91180	200	
16	0	e0925c248a	2132	5230	3098	88736	200	
16	0	4d96d2ca92	2134	5230	3096	91368	200	
16	0	8b9ecb95da	2134	5231	3097	97948	200	
16	0	88a58fe55f	2134	5231	3097	91932	200	
16	0	126b6f611e	4374	5351	977	95316	200	
16	0	82669ccf33	3115	5412	2297	94000	200	
16	0	2dbea77417	2135	5665	3530	96820	200	
16	0	7dacfd52d5	2136	5862	3726	93248	200	
16	0	eeb601ae07	3408	6221	2813	97760	200	
16	0	b9ccd99aaa	2136	6624	4488	91556	200	
16	0	541584eb31	2137	6632	4495	94376	200	
16	0	ce1fa7485b	2137	7207	5070	94000	200	
16	0	ab0c9fac41	5223	7403	2180	92684	200	
16	0	e60ebd74c9	4375	8208	3833	92120	200	
16	0	37e3cbe67b	5225	8211	2986	93436	200	
16	0	851592d870	5230	8216	2986	92496	200	
16	0	9e4cd47cc5	5231	8219	2988	88360	200	
16	0	448eb18ce5	5230	8219	2989	94188	200	
16	0	c33dc92734	5412	8368	2956	90804	200	
16	0	aa2ac018be	5230	8395	3165	91180	200	
16	0	c787204559	5351	8401	3050	92120	200	
16	0	a748800abb	5231	8820	3589	93060	200	
16	0	60d0711b9f	7208	9204	1996	91932	200	
16	0	2e33e0bb1a	8219	9206	987	84600	200	
16	0	cfd063061b	5862	9331	3469	88924	200	
16	0	53f17689b9	6624	9381	2757	91180	200	
16	0	fe351f7184	6221	10214	3993	91744	200	
16	0	7f1b8ffbbd	5665	10215	4550	94376	200	
16	0	975f4388b7	7403	10217	2814	87420	200	
16	0	104834782a	6632	10217	3585	91744	200	
16	0	8818157eaa	9204	10400	1196	98324	200	
16	0	e32589948a	8211	11202	2991	88360	200	
16	0	4ee05d35cb	8368	11207	2839	92496	200	
16	0	9cf0752337	8216	11209	2993	88924	200	
16	0	cc7f0962c7	8395	11213	2818	90616	200	
16	0	32a4c63387	8820	11216	2396	93812	200	
16	0	36b7450063	8401	11224	2823	94000	200	
16	0	f742e1ed99	8208	11383	3175	92308	200	
16	0	5cda312906	10215	11387	1172	97572	200	
16	0	605a05fc2f	9206	11394	2188	91744	200	
16	0	d8ef824e00	9381	12214	2833	94752	200	
16	0	f72c41e9e8	11202	13207	2005	93248	200	
16	0	6169275a5a	8219	13212	4993	90052	200	
16	0	67572db0f0	9331	13215	3884	97760	200	
16	0	a2746f4dd9	10217	13219	3002	97384	200	
16	0	c7fbc19bcb	10217	13219	3002	94940	200	
16	0	01e125c19b	10214	13401	3187	98324	200	
16	0	2c703b79c4	11209	13406	2197	96068	200	
16	0	61bab77ade	10400	13408	3008	90616	200	
16	0	cb978c556d	11224	14216	2992	95128	200	
16	0	2e07f20dd2	11207	14216	3009	91180	200	
16	0	5b25863726	13212	14217	1005	93248	200	
16	0	07f56a4a5f	13207	14217	1010	93248	200	
16	0	d492dab839	11394	14408	3014	94000	200	
16	0	bae9320724	11216	14596	3380	91180	200	
16	0	a54a8e008d	11383	15201	3818	90616	200	
16	0	4cda285895	11213	15209	3996	93624	200	
16	0	3ae69552ad	12214	15227	3013	96632	200	
16	0	2109577b94	11387	15228	3841	91932	200	
16	0	8490161b1e	13219	16223	3004	90240	200	
16	0	07f1b6c272	13406	16224	2818	93624	200	
16	0	c02b42c35b	13408	16235	2827	86856	200	
16	0	6c417f5041	13401	17211	3810	87984	200	
16	0	6aa77160fc	14216	17212	2996	94188	200	
