# In-browser weeb-3 concurrency sweep. arms [16], rounds 2, block 160.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 40ms (ceiling 500ms), document hidden. Judge the environment, do not assume it.
# round 0 pos 0 arm 16: peers 134/66 -> 134/66, focused false
# round 1 pos 0 arm 16: peers 134/66 -> 134/66, focused false
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	183d910eef	501	1891	1390	86668	200	
16	0	d6ebea744c	1923	4408	2485	89112	200	
16	0	088a52e4d3	1924	4615	2691	93624	200	
16	0	fcfcf6b680	1923	4618	2695	88736	200	
16	0	6d1b1bb531	4408	5212	804	92684	200	
16	0	3861b195f1	1922	5395	3473	90240	200	
16	0	4e375ec055	1923	5397	3474	92684	200	
16	0	21b8a4d3d6	1924	5403	3479	92120	200	
16	0	1ef5ddab3e	1924	5408	3484	90992	200	
16	0	f8bf441190	1924	5408	3484	88736	200	
16	0	82395150a3	1923	5409	3486	85352	200	
16	0	592a1806c2	1923	5418	3495	92496	200	
16	0	410ec3f7ef	1923	5419	3496	86480	200	
16	0	2174552549	1924	5426	3502	95128	200	
16	0	fd9d21fe23	1924	5595	3671	94376	200	
16	0	d1b2cb06ad	1924	5820	3896	94000	200	
16	0	9dc53a6907	4618	7411	2793	96820	200	
16	0	196674eaed	1924	7415	5491	92308	200	
16	0	e52311058f	5408	7809	2401	95880	200	
16	0	861b3eda86	5409	8423	3014	97384	200	
16	0	bc9758dbdf	5212	8424	3212	94188	200	
16	0	fb302a6983	4615	8424	3809	95128	200	
16	0	bb82e4b1de	5395	8427	3032	96444	200	
16	0	0df3762b6b	5418	8427	3009	95316	200	
16	0	d40526f7a3	5426	8580	3154	91180	200	
16	0	2ccbc407fe	5408	8592	3184	92120	200	
16	0	ecfa94231e	5403	9411	4008	95316	200	
16	0	78d37d7150	5595	9416	3821	97196	200	
16	0	7d7231166d	5419	9418	3999	95504	200	
16	0	af62d54311	7415	9433	2018	89864	200	
16	0	be473597ba	5820	9607	3787	93248	200	
16	0	af02633229	5397	10400	5003	91556	200	
16	0	4f4ac59740	7411	10406	2995	98324	200	
16	0	13cdda7505	8427	11404	2977	91744	200	
16	0	192ce76ed1	8424	11406	2982	90616	200	
16	0	58051a56b5	8427	11410	2983	90052	200	
16	0	548e498e47	8592	11410	2818	94188	200	
16	0	7140329af6	8424	11417	2993	92120	200	
16	0	b89dd2ff8f	7809	12405	4596	97384	200	
16	0	414f28c01a	8580	12405	3825	88172	200	
16	0	02a85751d8	8423	12411	3988	95692	200	
16	0	b85f907966	9411	12417	3006	93812	200	
