# In-browser weeb-3 concurrency sweep. arms [32], rounds 1, block 160.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 41ms (ceiling 500ms), document hidden. Judge the environment, do not assume it.
# round 0 pos 0 arm 32: peers 134/66 -> 134/66, focused false
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	279709a1a6	509	1359	850	97948	200	
32	0	c066f9e443	1372	4454	3082	90616	200	
32	0	fb7821843f	1374	4471	3097	86668	200	
32	0	8e4345c01b	1373	4471	3098	91932	200	
32	0	a9827a16db	1373	4480	3107	88548	200	
32	0	4289e0e9d1	1373	4482	3109	90804	200	
32	0	636b989a5a	1375	4483	3108	94188	200	
32	0	ffb2214d4e	1372	4484	3112	92872	200	
32	0	b276af3bc4	1373	4624	3251	92684	200	
32	0	37b1d11338	1374	4643	3269	95880	200	
32	0	16e9b23efe	1375	4653	3278	95692	200	
32	0	de21d8b55f	1375	4659	3284	97760	200	
32	0	ee00703bd1	1374	5454	4080	93060	200	
32	0	025da0f175	1373	5474	4101	86856	200	
32	0	062cbf4d87	1373	5631	4258	88172	200	
32	0	eb49fba3cb	1372	5632	4260	92120	200	
32	0	ba93e5ba16	4482	7470	2988	95880	200	
32	0	b9751a33cf	4454	7471	3017	90240	200	
32	0	bd9230c2fb	4480	7471	2991	90804	200	
32	0	ebfb20d527	4471	7471	3000	95316	200	
32	0	7104b1cd12	1374	7472	6098	89488	200	
32	0	9143939e50	4653	8446	3793	91932	200	
32	0	3937f35269	4643	8449	3806	93624	200	
32	0	23e0d92b7c	4483	8462	3979	89676	200	
32	0	96700a6a31	4471	8464	3993	92872	200	
32	0	ea1a52f6db	5454	8472	3018	92496	200	
32	0	b700734643	4624	8472	3848	92308	200	
32	0	3438411077	5474	8473	2999	88924	200	
32	0	851e61c7c2	5632	8473	2841	91744	200	
32	0	fa0066c0c0	4484	9439	4955	94376	200	
32	0	2608975f4c	4659	9449	4790	88736	200	
32	0	3f15d6cad0	5631	9479	3848	95880	200	
32	0	cf6c95a488	7472	10452	2980	91180	200	
32	0	20013aaea4	7470	10452	2982	93624	200	
32	0	842911fe12	7471	10459	2988	93812	200	
32	0	8d5765d54e	7471	10459	2988	88736	200	
32	0	7fc0794bee	8446	11459	3013	93436	200	
32	0	71b2bbbab7	7471	11464	3993	95692	200	
32	0	6d0a453172	8449	11471	3022	89864	200	
32	0	3b5178835e	8473	11472	2999	87984	200	
32	0	bffb09f3b2	8462	11472	3010	90992	200	
32	0	526be1bf5f	8472	11473	3001	90052	200	
32	0	229c1b6211	8473	11473	3000	91744	200	
32	0	5dfeb03456	8464	11532	3068	85352	200	
32	0	ab3aa0d87c	10452	11636	1184	92684	200	
32	0	5d71678bf5	9449	12464	3015	94000	200	
32	0	d940585db4	9439	12469	3030	88548	200	
32	0	c00f9502a8	9479	13469	3990	92308	200	
32	0	b25ffab47c	8472	13472	5000	87984	200	
32	0	43fff42f44	11459	13473	2014	92120	200	
32	0	2a202f03c8	10459	13473	3014	96444	200	
32	0	dc3e2118ad	10459	14452	3993	96632	200	
32	0	2b486bcb3f	11464	14461	2997	97384	200	
32	0	d913cf1a52	10452	14464	4012	91932	200	
32	0	2c0757bab0	1374	15470	14096	91744	200	
32	0	48857f5314	1373	15473	14100	86856	200	
32	0	b814ac37a8	11636	15478	3842	96444	200	
32	0	796d2aa115	12464	15622	3158	93248	200	
32	0	51d40074c0	11532	15642	4110	89864	200	
32	0	035bb35a91	11473	15647	4174	95880	200	
32	0	0a2e6e7eb0	1376	15648	14272	90616	200	
32	0	24ba0628aa	11472	15661	4189	95316	200	
32	0	817939e809	1373	15662	14289	93812	200	
32	0	2ca8d51530	1375	15856	14481	93624	200	
32	0	adb4dc1e47	11473	17448	5975	95316	200	
32	0	c4f5651beb	13469	17458	3989	90428	200	
32	0	a616d95569	13473	17466	3993	97008	200	
32	0	340ee029da	11471	17467	5996	91932	200	
32	0	0c43fe7415	11472	17482	6010	91744	200	
32	0	bbca258c9c	13472	18470	4998	96820	200	
32	0	3194ae5b2b	13473	18472	4999	91368	200	
32	0	3f47b7948a	12469	18475	6006	95504	200	
32	0	4eafbd3869	15470	18476	3006	91368	200	
32	0	d7b0b30ea0	14452	18477	4025	93812	200	
32	0	9549918adc	15622	18481	2859	91368	200	
32	0	0d927e146e	15473	18638	3165	91932	200	
32	0	a19c6698b7	15478	19438	3960	89864	200	
32	0	0bc1aeb10f	15647	19444	3797	90052	200	
32	0	63e7562203	14464	19448	4984	94376	200	
32	0	3499e99264	15661	19459	3798	86668	200	
32	0	cf3920cfbd	15642	19632	3990	92308	200	
32	0	793ed1daf1	15648	19653	4005	92684	200	
32	0	3dc4c851b6	17482	20450	2968	89864	200	
32	0	701502bb53	17467	20451	2984	94188	200	
32	0	082afd4abe	15856	20451	4595	90992	200	
32	0	5200371d6d	14461	20454	5993	94000	200	
32	0	a9bf685968	15662	20455	4793	90616	200	
32	0	b2afb94350	17466	20458	2992	91744	200	
32	0	cf9628020c	17458	21445	3987	89676	200	
32	0	53b5d064b5	17448	21452	4004	94752	200	
32	0	21e540c9d4	18472	21469	2997	86856	200	
32	0	3d22df3615	18638	21855	3217	94376	200	
32	0	1ba8967a08	18476	22467	3991	89864	200	
32	0	390b006ba0	19632	22467	2835	98888	200	
32	0	cc426efa1f	19438	22469	3031	96820	200	
32	0	10ee421a58	18481	22469	3988	94376	200	
32	0	11f2d44295	18477	22470	3993	94940	200	
