# c4 at BLOCK 40, re-run 2026-08-11 to fix the mixed-depth curve in in-browser-concurrency-sweep-2026-08-11.tsv.
# That sitting ran c1/c2/c4 at block 12 and c8/c16/c32 at block 40, so the low arms were penalised by
# their own ramp and drain. c4's occupancy there was 3.35/4 = 84%, predicting a true value of 220-235.
# MEASURED HERE: 235 KB/s at occupancy 3.81/4 = 95%, against 200 KB/s at block 12. Prediction held.
# This also REPLICATES the block-depth effect on a second arm: c8 went 268 -> 323 (+21%, occupancy
# 75% -> 95%), c4 goes 200 -> 235 (+17.5%, occupancy 84% -> 95%). Both move by what their deficit predicted.
# ⚠️ ONE TAB ONLY, peers flat 147 connected / 53 connecting. The earlier c4 ran at 200 peers, so peer
# count differs; over 82-200 that is within noise, and if anything 147 peers would LOWER this figure.
# ⛔ Concurrent weeb-3 tabs starve each other. Record tab count with every sitting. Canary 1058ms.
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	c077ef4c75	99	1157	1058	91932	200	
4	0	3a6bfc3179	1157	2145	988	93060	200	
4	0	b412e0fed4	1157	2146	989	87984	200	
4	0	c173ec6517	1157	2338	1181	92684	200	
4	0	8c9b7fcab6	1157	2873	1716	89488	200	
4	0	9f5866841f	2338	3309	971	91932	200	
4	0	601f37f2e6	2146	3524	1378	93624	200	
4	0	a11841b4db	2873	3888	1015	93248	200	
4	0	abdbeb8062	2145	4294	2149	94188	200	
4	0	6c7391f6e4	3310	4543	1233	89300	200	
4	0	eec78779d4	4294	5268	974	94752	200	
4	0	8447bb7f43	3888	5341	1453	90428	200	
4	0	f2c7236563	3524	5723	2199	94940	200	
4	0	b82e0c6e20	4543	6159	1616	88360	200	
4	0	5bfe627e61	5341	6728	1387	92308	200	
4	0	599837f0dd	5268	6733	1465	93624	200	
4	0	3ac40a13ac	6159	7162	1003	87796	200	
4	0	e123e2fa3f	6728	8156	1428	86668	200	
4	0	40632ed63b	5723	8157	2434	86292	200	
4	0	d9a4e73736	6733	8727	1994	92496	200	
4	0	3f333f489d	7162	8916	1754	89676	200	
4	0	0be60027b5	8157	9133	976	95880	200	
4	0	b8f1a33b11	8156	9151	995	93436	200	
4	0	ad20467472	8727	10367	1640	92684	200	
4	0	3df1f95234	8916	10572	1656	94376	200	
4	0	85af1c4059	9151	10963	1812	96068	200	
4	0	936fc7303a	10367	11344	977	94564	200	
4	0	4f9f0a5ac4	9133	11767	2634	92684	200	
4	0	2559da60ae	10963	11934	971	93812	200	
4	0	c43e1eaecd	11344	12743	1399	95692	200	
4	0	a64ed85eba	11934	12898	964	89864	200	
4	0	ba6c63aaa2	10572	12931	2359	97196	200	
4	0	f5c878d780	11767	13163	1396	96444	200	
4	0	97d007adfa	12743	14160	1417	95128	200	
4	0	0c4528bedc	12931	14163	1232	93624	200	
4	0	060289e24c	12898	14352	1454	93060	200	
4	0	456ccdac86	14161	15117	956	96256	200	
4	0	5cf8a85cbd	13163	15173	2010	92308	200	
4	0	993f994ff7	14352	15320	968	90052	200	
4	0	a0f1a12ffe	14163	16190	2027	95880	200	
4	0	9054b4a493	15117	16542	1425	97384	200	
