# In-browser weeb-3 concurrency sweep. arms [8,16,32], rounds 1, block 40.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 41ms (ceiling 500ms), document hidden. Judge the environment, do not assume it.
# round 0 pos 0 arm 8: peers 200/0 -> 200/0, focused false
# round 0 pos 1 arm 16: peers 200/0 -> 200/0, focused false
# round 0 pos 2 arm 32: peers 200/0 -> 200/0, focused false
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	e6e6870cd3	759	1562	803	98888	200	
8	0	8d455e51d1	1565	2532	967	93436	200	
8	0	9b55c63073	1565	2549	984	92684	200	
8	0	6326ffa442	1565	2742	1177	96820	200	
8	0	4048574643	1565	3753	2188	94188	200	
8	0	bd5f48fdba	2532	3758	1226	90992	200	
8	0	05b44847da	1566	3771	2205	93060	200	
8	0	cb07c54a00	1566	3935	2369	88736	200	
8	0	ceda068330	2549	3936	1387	90616	200	
8	0	d1e8e583fc	1565	3939	2374	95316	200	
8	0	e37d7afac5	3758	4904	1146	88172	200	
8	0	2f6b83e8d2	3936	4910	974	93060	200	
8	0	aa64946522	3940	4919	979	90428	200	
8	0	a9e84239af	1566	4959	3393	90804	200	
8	0	b36c341c38	4904	5730	826	89676	200	
8	0	ae7a2ac4ce	2742	5749	3007	90616	200	
8	0	25c5338526	3753	5751	1998	93812	200	
8	0	6382fbcbb7	4910	5892	982	93248	200	
8	0	a09426e662	3771	5943	2172	89676	200	
8	0	f20fd32200	5751	6938	1187	89676	200	
8	0	32c2b9d9d6	4959	7756	2797	88924	200	
8	0	47ac9c74b2	3935	7758	3823	90616	200	
8	0	533faad3d0	4919	7917	2998	87420	200	
8	0	51ecc624a9	5892	8752	2860	93248	200	
8	0	1a7b075cf2	5730	8754	3024	86104	200	
8	0	d21cff3d3e	5943	8756	2813	91368	200	
8	0	75069fa9b2	5749	8759	3010	90052	200	
8	0	b000a699cd	7917	8939	1022	97572	200	
8	0	0246a87680	7758	8963	1205	91932	200	
8	0	f0bec9201b	8752	9557	805	95504	200	
8	0	1f49224c88	7756	9753	1997	98136	200	
8	0	a5deab124c	6938	9757	2819	92872	200	
8	0	2f830831e4	8754	9943	1189	99452	200	
8	0	9498878804	8756	11766	3010	94000	200	
8	0	ee28c1eb2e	8759	11772	3013	98700	200	
8	0	7d0d14f361	8939	11776	2837	98700	200	
8	0	60857c1b58	8963	11776	2813	92872	200	
8	0	3fd1d0f59b	9557	11959	2402	95692	200	
8	0	ffd0c8284c	9753	12745	2992	91368	200	
8	0	95f204de34	9757	12753	2996	96068	200	
8	0	b863273c09	9943	12760	2817	89488	200	
16	0	f472252a11	12764	15206	2442	92872	200	
16	0	c497285845	12764	15754	2990	93436	200	
16	0	f8122c8b7c	12764	15758	2994	92496	200	
16	0	2e34325b99	12764	15775	3011	92308	200	
16	0	51da389e3e	12764	15775	3011	89864	200	
16	0	bb5d3661b3	12763	15775	3012	95880	200	
16	0	1dda9c1229	12765	15775	3010	91744	200	
16	0	62987e90bc	12764	15782	3018	91932	200	
16	0	63df78a3af	12765	15783	3018	87984	200	
16	0	383c9aa3ed	12764	15783	3019	88360	200	
16	0	a6db17ce8b	12764	15787	3023	95316	200	
16	0	e2eb0ef146	12764	15788	3024	91932	200	
16	0	a1915bdbe3	12763	15788	3025	94940	200	
16	0	32dea78e7a	12764	15979	3215	93624	200	
16	0	60abc8da77	12765	16135	3370	89864	200	
16	0	1cc3a68c20	15758	16739	981	90052	200	
16	0	3c2b7b15ea	12764	16771	4007	94940	200	
16	0	deaa2d16be	15754	17755	2001	94000	200	
16	0	aa35a4198d	15775	17756	1981	94000	200	
16	0	6aa1b9ba84	15206	18747	3541	94376	200	
16	0	a1f9c36cf5	15788	18748	2960	87044	200	
16	0	34bc1264f6	15788	18752	2964	92684	200	
16	0	44d021e03e	17755	18758	1003	92308	200	
16	0	51abfb40cd	15783	18762	2979	90052	200	
16	0	8071c266d3	15783	18762	2979	92496	200	
16	0	86e573e245	15775	18762	2987	90992	200	
16	0	b464b9fb1f	15775	18762	2987	88924	200	
16	0	930a503874	15775	18763	2988	94564	200	
16	0	b7f187c63f	15787	18764	2977	89864	200	
16	0	65f5478224	15979	18765	2786	88736	200	
16	0	a1e9747a9b	17756	18948	1192	91744	200	
16	0	0569874843	15782	18968	3186	94000	200	
16	0	fbaf624036	16135	19748	3613	91556	200	
16	0	e96ddc22b0	16739	19753	3014	90616	200	
16	0	1eba146f26	16771	19753	2982	96632	200	
16	0	0b0cb73e62	18747	21758	3011	95128	200	
16	0	026c318602	18758	21759	3001	95316	200	
16	0	36837b5bd3	18752	21759	3007	96820	200	
16	0	95a9f00fa8	18748	21760	3012	94752	200	
16	0	86a1cf33c1	18762	22138	3376	98512	200	
32	0	3dfb40d887	22139	24760	2621	93812	200	
32	0	4dc95beb80	22140	24962	2822	97760	200	
32	0	8ff5d9f98f	22139	25360	3221	92120	200	
32	0	63bdd35fb1	22140	26752	4612	93436	200	
32	0	3f9b767d11	22141	26768	4627	87984	200	
32	0	5e2b07a5f5	22139	26775	4636	90052	200	
32	0	669afe0c22	22141	26779	4638	94188	200	
32	0	311521c976	22139	26780	4641	94940	200	
32	0	73e0c56d4d	22139	26780	4641	93812	200	
32	0	74d37b7e8b	22142	26781	4639	90992	200	
32	0	49cb8298c3	22139	26939	4800	94376	200	
32	0	a7a0653482	22140	26942	4802	98888	200	
32	0	bdffb0d25d	24760	26944	2184	86292	200	
32	0	19dc2c0e23	22139	26944	4805	95504	200	
32	0	9860c32a05	22141	26945	4804	94376	200	
32	0	a5c480482d	22141	26950	4809	87796	200	
32	0	3dd8023fed	26775	27750	975	93436	200	
32	0	fd69705b6b	24962	27750	2788	92496	200	
32	0	c483be4ba5	22142	27754	5612	94000	200	
32	0	7ad74d2e33	22140	27754	5614	91368	200	
32	0	abe59f372d	22142	27764	5622	90052	200	
32	0	15b2de7ebf	22140	27764	5624	93624	200	
32	0	61d18e352b	26780	27766	986	93248	200	
32	0	068d3a3d38	26752	27768	1016	88924	200	
32	0	fdc9ac9362	22141	27953	5812	88548	200	
32	0	147befc723	25360	28752	3392	92496	200	
32	0	b3a7d144d9	22139	28779	6640	98888	200	
32	0	5a3fdcc8f7	26779	29750	2971	95692	200	
32	0	7e6cb2d983	22142	29757	7615	89112	200	
32	0	c4f803fedb	26768	29758	2990	96444	200	
32	0	9772347a42	22140	52357	30217	0	0	over-budget
32	0	3c6c1d7346	22140	52357	30217	0	0	over-budget
32	0	8f20f4a63f	22140	52357	30217	0	0	over-budget
32	0	3abe763f84	22141	52357	30216	0	0	over-budget
32	0	2c5e3e35bd	22141	52357	30216	0	0	over-budget
32	0	3c5708f93e	22141	52357	30216	0	0	over-budget
32	0	c60582cd84	22141	52357	30216	0	0	over-budget
32	0	39c1470cf7	22142	52357	30215	0	0	over-budget
32	0	f6f382a9f4	22142	52357	30215	0	0	over-budget
32	0	9b6602e92b	22142	52357	30215	0	0	over-budget
warm	-1	147befc723	52357	52360	3	92496	200	
warm	-1	b3a7d144d9	52360	52361	1	98888	200	
warm	-1	5a3fdcc8f7	52361	52362	1	95692	200	
warm	-1	7e6cb2d983	52362	52363	1	89112	200	
warm	-1	c4f803fedb	52363	52364	1	96444	200	
