# Post-hoc control for in-browser-concurrency-deep-2026-08-11.tsv, same node, same session.
# Run IMMEDIATELY AFTER the c32 arm collapsed, on 40 fresh cold references.
# Purpose: c32 ran last in an unrotated single round, so its collapse was confounded with node decay.
# If the node had decayed, this repeat of c8 would be slower than the c8 arm earlier in the sitting.
# Peers 200 connected / 0 connecting throughout. Canary 850ms.
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	4ec03de904	0	850	850	89676	200	
8	0	558509ca49	851	1672	821	92684	200	
8	0	a4d647f1e0	851	1825	974	88360	200	
8	0	a392444670	851	1834	983	89488	200	
8	0	accecf9932	851	1841	990	92496	200	
8	0	51cc8ad8ae	851	1849	998	97196	200	
8	0	764f4cfbf8	1825	2628	803	98136	200	
8	0	9fdf99454d	850	2710	1860	91180	200	
8	0	a549567138	1672	2710	1038	91368	200	
8	0	5e34ecda5d	1834	2814	980	98136	200	
8	0	218dd6fbe5	1849	2816	967	95692	200	
8	0	0638010e9b	1841	2826	985	93812	200	
8	0	bd93afded1	851	3967	3116	91744	200	
8	0	8f09b1b69c	851	4288	3437	87044	200	
8	0	f90ed4d639	2814	4718	1904	94376	200	
8	0	6fe3073b12	2710	5714	3004	96820	200	
8	0	f2a0bca5b5	2826	5718	2892	92120	200	
8	0	76790b1f3e	2710	5890	3180	92872	200	
8	0	31e5e1267f	2628	5895	3267	95316	200	
8	0	7ba38f71c5	3967	5912	1945	94000	200	
8	0	adbfad64f9	4718	6112	1394	96444	200	
8	0	eb9c928bb9	2816	6705	3889	94376	200	
8	0	b11eafeee7	4288	6721	2433	91744	200	
8	0	bac2c0110d	5718	6917	1199	93060	200	
8	0	54be59a9c9	5890	7092	1202	93624	200	
8	0	f7d3899fa8	5895	7712	1817	95504	200	
8	0	5d4721d238	5714	7713	1999	90616	200	
8	0	5d8db238a3	6705	7717	1012	94564	200	
8	0	13c11bfbe2	5912	8708	2796	95504	200	
8	0	893afb868a	6721	8711	1990	90052	200	
8	0	668b3725bb	6112	8903	2791	89300	200	
8	0	e22bcb7fa0	7712	9705	1993	92120	200	
8	0	36d1be9520	6917	9708	2791	94000	200	
8	0	8aef1072cd	7713	9708	1995	91556	200	
8	0	46e8d2390f	8711	9714	1003	91368	200	
8	0	7397b72d3c	7092	9901	2809	87420	200	
8	0	be9c6a0174	7717	10704	2987	88172	200	
8	0	a45d6377de	9705	10868	1163	89488	200	
8	0	2727efa958	9708	10907	1199	96444	200	
8	0	0b2d0f1d40	8903	11700	2797	93436	200	
8	0	676a69a9e4	8708	11701	2993	93624	200	
