# In-browser weeb-3 concurrency sweep. arms [1,2,4,8], rounds 2, block 12.
# Retrieval budget 30000ms. A row at the bound is "did not complete", never a duration.
# Degraded rounds (canary missed), excluded by the analyser: []
# Scheduling probe: same-origin fetch p50 41ms (ceiling 500ms), document hidden. Judge the environment, do not assume it.
# round 0 pos 0 arm 1: peers 200/0 -> 200/0, focused false
# round 0 pos 1 arm 2: peers 200/0 -> 200/0, focused false
# round 0 pos 2 arm 4: peers 200/0 -> 200/0, focused false
# round 0 pos 3 arm 8: peers 200/0 -> 200/0, focused false
# round 1 pos 0 arm 2: peers 200/0 -> 200/0, focused false
# round 1 pos 1 arm 4: peers 200/0 -> 200/0, focused false
# round 1 pos 2 arm 8: peers 200/0 -> 200/0, focused false
# round 1 pos 3 arm 1: peers 200/0 -> 200/0, focused false
# Summarise with: node deploy/scripts/concurrency-analysis.mjs <this file>
arm	round	ref	startMs	endMs	ms	bytes	status	overBudget
canary	0	6e3e54d94e	530	1510	980	96444	200	
1	0	7b4ca836ba	1514	1518	4	93248	200	
1	0	f33e272494	1518	2478	960	95880	200	
1	0	3a90eecfb7	2478	3440	962	92120	200	
1	0	e4097284bb	3440	4241	801	95128	200	
1	0	d8fa0eaf2a	4241	5034	793	93060	200	
1	0	b5cb01e0a5	5034	5814	780	96820	200	
1	0	02cb13a060	5814	6649	835	92496	200	
1	0	becc386fe2	6649	7624	975	96444	200	
1	0	24f2dd828a	7624	8412	788	95316	200	
1	0	1593c313ec	8412	9383	971	96632	200	
1	0	91ce54ab5b	9383	10175	792	96444	200	
1	0	b7f4f405eb	10175	10963	788	91744	200	
2	0	58b588e3ed	10964	11841	877	93436	200	
2	0	839ec6b14f	10963	12195	1232	95504	200	
2	0	229f722630	12195	14851	2656	91932	200	
2	0	8afd1d9972	11841	14851	3010	95504	200	
2	0	88c6b16570	14851	16619	1768	94000	200	
2	0	9536c8f729	14851	16807	1956	97572	200	
2	0	ea767b4d6a	16619	17585	966	90804	200	
2	0	44648d3c7b	16807	17618	811	98512	200	
2	0	d182f85006	17618	18577	959	96632	200	
2	0	307b4dddc0	17585	18756	1171	92872	200	
2	0	6a85e88aa2	18756	20045	1289	96820	200	
2	0	88e7308cf4	18577	20045	1468	90992	200	
4	0	2834a62d25	20045	20833	788	93624	200	
4	0	eafb9a4102	20045	21026	981	91932	200	
4	0	a51c465d17	20045	21211	1166	93060	200	
4	0	fe36f4d034	21211	22840	1629	93624	200	
4	0	a5927bf04d	20045	22846	2801	89488	200	
4	0	de2cfb181c	22840	23817	977	90428	200	
4	0	e841f551d5	20833	23841	3008	91932	200	
4	0	6bb77d1ccf	21026	23842	2816	89112	200	
4	0	5208ef1aa3	23817	24614	797	91556	200	
4	0	dafaf8d547	23841	24781	940	91556	200	
4	0	85469e70dd	22846	24976	2130	92684	200	
4	0	b894a94e18	23842	25840	1998	94188	200	
8	0	88ad468d8c	25841	26822	981	92308	200	
8	0	f346fbb39e	25841	26839	998	90616	200	
8	0	4e9b34e2fd	25841	26853	1012	89676	200	
8	0	da38ad7b84	25841	27018	1177	91556	200	
8	0	33ba29c565	25841	27033	1192	92872	200	
8	0	c156bebad7	27018	27809	791	93812	200	
8	0	1e4802d2b1	26853	27845	992	97948	200	
8	0	e83081c2c3	25841	28837	2996	89300	200	
8	0	1fca824ac6	25841	28837	2996	89488	200	
8	0	6aaec5e0e4	25841	28841	3000	86668	200	
8	0	cc03c3f188	26839	29835	2996	89864	200	
8	0	afd79083a3	26822	29839	3017	95504	200	
canary	1	2198687802	29840	30653	813	95692	200	
2	1	8ab6e0f2b3	30653	31626	973	94376	200	
2	1	3696b9ef01	30654	31629	975	91180	200	
2	1	08bad46566	31626	32588	962	94376	200	
2	1	10fd93c7b3	31629	32595	966	89112	200	
2	1	89124e7333	32588	33380	792	96444	200	
2	1	67f6219e6a	32595	33558	963	96256	200	
2	1	9ce2247e6f	33381	34535	1154	93436	200	
2	1	da384664be	33558	34846	1288	93812	200	
2	1	d57ec39f84	34535	35324	789	92684	200	
2	1	6c597ae69d	34846	35702	856	94188	200	
2	1	738e2b3774	35702	36491	789	92496	200	
2	1	692212435a	35324	37843	2519	90804	200	
4	1	41cdce5869	37844	38645	801	93624	200	
4	1	bee3d2d6f6	37844	38837	993	91556	200	
4	1	436473ff22	37844	38837	993	92684	200	
4	1	f0ff5a5665	37843	39629	1786	90428	200	
4	1	ec2198dab3	38837	39812	975	93436	200	
4	1	22864d45f4	38837	39826	989	90240	200	
4	1	3b1ec0c6a4	38645	40005	1360	96256	200	
4	1	6f4c6ca0de	40005	41034	1029	87796	200	
4	1	9e4f62f012	39826	41045	1219	92308	200	
4	1	c000994460	41034	41823	789	93812	200	
4	1	5b6c7ce6d6	39629	41844	2215	92308	200	
4	1	c8e306d78a	39812	42841	3029	95316	200	
8	1	8e84077862	42842	43661	819	92120	200	
8	1	00c83be7a1	42842	43835	993	92308	200	
8	1	e8fc3799d1	42842	44010	1168	84788	200	
8	1	a57fabcc46	42841	44034	1193	88736	200	
8	1	dd905a751f	42841	44035	1194	91744	200	
8	1	25448abac0	42842	45845	3003	90616	200	
8	1	0dc4d8b29d	42842	45847	3005	89676	200	
8	1	963e9247de	42842	45848	3006	90240	200	
8	1	506146d829	43661	46843	3182	96632	200	
8	1	f3d7d71b68	43835	46844	3009	90992	200	
8	1	458b2676e4	44010	46847	2837	96820	200	
8	1	89a0d3f4fd	44034	46849	2815	93436	200	
1	1	ba4b5b9bb4	46849	48610	1761	96632	200	
1	1	087d6898f5	48610	49403	793	97384	200	
1	1	c32637e9be	49403	50368	965	94752	200	
1	1	77911b3cb8	50368	51184	816	98512	200	
1	1	f02763ecc0	51184	51983	799	93812	200	
1	1	b1632cc465	51983	52769	786	99828	200	
1	1	d7a4eb6a4b	52769	53947	1178	94940	200	
1	1	6f52e03eb4	53947	54739	792	97384	200	
1	1	ee8c124583	54739	55706	967	90616	200	
1	1	8dddc34b4a	55706	56496	790	94000	200	
1	1	a2306d29ea	56496	57284	788	96444	200	
1	1	b0900dcf54	57284	58264	980	90804	200	
warm	-1	6f52e03eb4	58266	58268	2	97384	200	
warm	-1	ee8c124583	58268	58270	2	90616	200	
warm	-1	8dddc34b4a	58271	58272	1	94000	200	
warm	-1	a2306d29ea	58272	58274	2	96444	200	
warm	-1	b0900dcf54	58274	58276	2	90804	200	
