# In-browser fragment profile, weeb-3 unfunded, 2026-08-10.
# References are the archived GOP sweep of 2026-08-03: same uploader, same postage batch, same day.
# Sizes interleaved round-robin, so each round holds one reference of every size in ascending order.
# ROUNDS 0-2 ARE THE MEASUREMENT. Round 3 is retained only to show where the node stopped working:
# a 230 KB reference timed out at 240s there, after which every reference returned 503 in 11-100ms.
# Peers ran 154 connected / 46 connecting at the start, 72 / 128 by the end.
# status 504 rows are weeb-3's own 240s ceiling. bytes on a failed row is the error body, not payload.
index	round	gop	ref	startMs	ms	bytes	status
0	0	0.25	be40d77811	422631	1707	230112	200
1	0	0.5	d3d052e83c	424338	1302	240640	200
2	0	1	dbdcc8d494	425639	1831	454020	200
3	0	1.5	84d84a1d08	427470	3918	1347960	200
4	0	2	48878955d9	431389	1029	210748	200
5	0	3	9642629219	432418	77498	32	503
6	0	4	7c792ba083	509916	240008	28	504
7	1	0.25	66837ad155	749924	19456	243836	200
8	1	0.5	16dcf074a2	769380	2381	223908	200
9	1	1	df4cfd90d5	771760	22114	432964	200
10	1	1.5	fb36206bd4	793874	50474	1280280	200
11	1	2	04ee468a1a	844348	1018	199092	200
12	1	3	a7838037fc	845366	132280	2628804	200
13	1	4	ff51816d5b	977647	240025	28	504
14	2	0.25	8ba1dda249	1217671	3683	229360	200
15	2	0.5	98583f6686	1221354	3014	228044	200
16	2	1	761ae3ecb2	1224368	4103	476580	200
17	2	1.5	3fecf439fd	1228471	229068	32	503
18	2	2	7d2a6f0b44	1457539	1835	208868	200
19	2	3	5c42c52df2	1459373	240045	28	504
20	2	4	ece35c3340	1699435	240010	28	504
21	3	0.25	<discarded>	1939448	240013	0	504
#
# Gateway control, same references through the funded bee on the host (port 10077), warm cache.
# This is what assigns the failures above to the browser node rather than to missing data.
# ref	http	bytes	seconds
# ac39746ac6	200	232556	0.077
# be40d77811	200	230112	0.064
# 7c792ba083	200	3491160	0.649
