# in-browser phase 1, step 1 raw samples, 2026-08-09. Columns: ref bytes seconds
# arm=public-gateway-cold (download.gateway.ethswarm.org, from the laptop)
ref bytes seconds
7f4716f51c 104528 1.207856
6382801b19 98136 1.174540
048ba38045 92496 1.105776
0299b684c6 90052 1.059194
5fbd569b35 95504 1.112950
66f5cdeab4 99264 1.175350
fd0b11e00b 89864 1.109859
51d2141a3b 93812 1.105901
a36318c4b3 92872 1.102232
# arm=host-gateway-local-rtt owner=8d8a30ff4cbcf8ad0e0773547686295f8157feb0 topic=38699de1-061c-494a-a0a2-571740f11760
7f4716f51c 104528 0.044424
6382801b19 98136 0.045975
048ba38045 92496 0.026399
0299b684c6 90052 0.066138
5fbd569b35 95504 0.024161
66f5cdeab4 99264 0.036957
fd0b11e00b 89864 0.057187
51d2141a3b 93812 0.044309
a36318c4b3 92872 0.037842
75f2cd4a30 93248 0.050783
# arm=public-gateway-warm-refetch (proves the ~1.1s is the instrument, not retrieval)
7f4716f51c 104528 1.231377
7f4716f51c 104528 1.178800
6382801b19 98136 1.164635
6382801b19 98136 1.187056
048ba38045 92496 1.004593
048ba38045 92496 0.992194
# arm=weeb-3-browser-node performance.getEntriesByType('resource') ms, n=18
2 2 2 3 3 3 4 8 9 246 247 251 254 416 473 1204 2771 3152
