iso,uploader_avail_plur,gateway_avail_plur,batch_utilization,batch_ttl
2026-08-11T12:08:56Z,17804678999970500,57073607999974000,154,2072084
2026-08-11T12:09:29Z,17804678999970500,57073607999974000,154,2072059
2026-08-11T12:10:02Z,17711263999970500,57059114999974000,154,2072009
2026-08-11T12:10:35Z,17517811999970500,57015641999974000,154,2071549
2026-08-11T12:11:08Z,17323887999970500,56972466999974000,154,2071524
2026-08-11T12:11:40Z,17131423999970500,56924804999974000,154,2071474
2026-08-11T12:12:14Z,16938926999970500,56878095999974000,154,2071449
2026-08-11T12:12:46Z,16746552999970500,56829575999974000,154,2071424
2026-08-11T12:13:20Z,16537949999970500,56785925999974000,154,2071399
2026-08-11T12:13:52Z,16340247999970500,56739797999974000,154,2071349
2026-08-11T12:14:26Z,16137232999970500,56706968999974000,154,2071324
2026-08-11T12:14:58Z,15940166999970500,56671464999974000,155,2071299
2026-08-11T12:15:32Z,15737242999970500,56629193999974000,155,2071274
2026-08-11T12:16:04Z,15545344999970500,56595559999974000,155,2071249
2026-08-11T12:16:38Z,15348565999970500,56553194999974000,155,2071199
2026-08-11T12:17:10Z,15151916999970500,56516632999974000,155,2071174
2026-08-11T12:17:44Z,14952461999970500,56476616999974000,157,2071149
2026-08-11T12:18:16Z,14909091999970500,56471993999974000,157,2071124
2026-08-11T12:18:50Z,14909091999970500,56471993999974000,157,2071074
2026-08-11T12:19:23Z,14743695999970500,56346374999974000,157,2071049
2026-08-11T12:19:56Z,14540952999970500,56173715999974000,157,2071024
2026-08-11T12:20:29Z,14333014999970500,55994939999974000,158,2070974
2026-08-11T12:21:03Z,14120352999970500,55813581999974000,158,2070949
2026-08-11T12:21:36Z,13916788999970500,55635831999974000,158,2070924
2026-08-11T12:22:09Z,13698325999970500,55455718999974000,158,2070874
2026-08-11T12:22:43Z,13487711999970500,55264231999974000,158,2070849
2026-08-11T12:23:16Z,13276714999970500,55071962999974000,160,2070824
2026-08-11T12:23:49Z,13076971999970500,54891105999974000,160,2070393
2026-08-11T12:24:22Z,12877321999970500,54714558999974000,161,2070343
2026-08-11T12:24:55Z,12661781999970500,54540054999974000,161,2070318
2026-08-11T12:25:29Z,12453352999970500,54357779999974000,161,2070293
2026-08-11T12:26:01Z,12254024999970500,54175312999974000,161,2070243
2026-08-11T12:26:35Z,12044470999970500,53989852999974000,163,2070218
2026-08-11T12:27:07Z,11866971999970500,53840175999974000,163,2070193
2026-08-11T12:27:40Z,11866971999970500,53840175999974000,163,2070143
2026-08-11T12:28:13Z,11824675999970500,53817678999974000,163,2070118
2026-08-11T12:28:46Z,11632253999970500,53631201999974000,163,2070093
2026-08-11T12:29:19Z,11435219999970500,53451079999974000,163,2070043
2026-08-11T12:29:52Z,11238681999970500,53280671999974000,163,2070018
2026-08-11T12:30:25Z,11012053999970500,53106971999974000,164,2069993
2026-08-11T12:30:58Z,10805083999970500,52919457999974000,164,2069968
2026-08-11T12:31:31Z,10589929999970500,52739630999974000,164,2069943
2026-08-11T12:32:04Z,10376993999970500,52717248999974000,164,2069893
2026-08-11T12:32:37Z,10155084999970500,52698121999974000,164,2069868
2026-08-11T12:33:10Z,9945346999970500,52527450999974000,164,2069843
2026-08-11T12:33:43Z,9743461999970500,52332652999974000,164,2069793
2026-08-11T12:34:16Z,9544616999970500,52161592999974000,164,2069768
2026-08-11T12:34:48Z,9346952999970500,51987116999974000,164,2069743
2026-08-11T12:35:22Z,9127860999970500,51793173999974000,164,2069693
2026-08-11T12:35:55Z,8928539999970500,51615756999974000,164,2069668
2026-08-11T12:36:28Z,8806946999970500,51527738999974000,164,2069643
